UrbanAgg,Country,Region,OID,Pop1970,Pop1980,Pop1990,Pop2000,Pop2010,PopR7080,PopR8090,PopR9000,PopR0010,Area1970,Area1980,Area1990,Area2000,Area2010,ArR7080,ArR8090,ArR9000,ArR0010,PD1970,PD1980,PD1990,PD2000,PD2010,Authors,Journal,Year
Freetown,Sierra Leone,Africa,28,206,364,535,690,891,5.857934633,3.926245941,2.576890755,2.589487757,20.319828,36.997612,55.9387,65.41,76.484939,6.175757135,4.220671631,1.576484477,1.576484375,10137.88109,9838.472818,9564.040637,10548.84574,11649.3523,"Forkuor, G & O Cofie",International Journal of Remote Sensing,2015
Freetown,Sierra Leone,Africa,29,206,364,535,690,891,5.857934633,3.926245941,2.576890755,2.589487757,24.444016,29.59893,35.789473,43.181564,68.902999,1.931952982,1.917304552,1.89533617,4.783759355,8427.420437,12297.74184,14948.5297,15979.04143,12931.22234,"Mansaray, LR, Huang, J, & AA Kamara",Environmental Monitoring and Assessment,2016
Fuqing,China,China,107,44,55,69,356,467,2.256518256,2.293641738,17.83114306,2.751149295,0.544823,2.954725,16.02428,80.391369, ,18.42030174,18.42029696,17.5014132, ,80760.17349,18614.25344,4305.965697,4428.336082, ,"Xu, H, Wang, X, & G Xiao",Land Degradation & Development,2000
Fuzhou in Fujian,China,China,108,549,742,1403,2009,2793,3.058343144,6.57746266,3.655470333,3.349671345,140.185834,272.214,510.983098,1057.867719,2119.12335,6.86134418,6.500000001,7.548035775,7.194496131,3916.230223,2725.796616,2745.687686,1899.103228,1317.997841,"Zhao, S, Zhou, D, Zhu, C, Qu, W, Zhao, J, Sun, Y, Huang, D, Wu, W, & S Liu",Landscape Ecology,2015
Gorgan,Iran (Islamic Republic of),SC Asia,549,62,104,156,217,314,5.308679,4.137974399,3.35548126,3.764068428,45.040284,62.050101,85.229104,116.254418, ,3.255724251,3.224917157,3.153069181, ,1376.545494,1676.064959,1830.360671,1866.595728, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Gorgan,Iran (Islamic Republic of),SC Asia,550,62,104,156,217,314,5.308679,4.137974399,3.35548126,3.764068428,8.957453,13.602282,20.586561,30.742195, ,4.266002589,4.231071634,4.091461655, ,6921.610418,7645.775907,7577.759102,7058.702217, ,"Mahiny, AS & M Gholamalifard",International Journal of Environmental Research,2007
Guadalajara,Mexico,CS Am,282,1506,2269,3023,3724,4442,4.183576569,2.90782523,2.107698459,1.778140064,166.7006881,227.0841053,309.34,417.5030351, ,3.139479275,3.139479275,3.043916158, ,9036.243443,9993.812633,9771.60406,8919.226178, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Guadalajara,Mexico,CS Am,281,1506,2269,3023,3724,4442,4.183576569,2.90782523,2.107698459,1.778140064,176.9351148,236.9793354,317.4,421.6, ,2.965004904,2.965004904,2.879623914, ,8513.561607,9576.514322,9523.465658,8832.552182, ,"Schneider, A & CE Woodcock",Urban Studies,2008
Guangzhou in Guangdong,China,China,126,1542,1870,3072,7330,9620,1.947298824,5.08916964,9.085813909,2.755980994,84.603839,195.570201,452.08,979.44, ,8.740483875,8.740483879,8.03792992, ,18226.12329,9561.783904,6795.257477,7483.868333, ,"Angel, S, Sheppard, SC, & DL Civco",World Bank Report,2005
Guangzhou in Guangdong,China,China,109,1542,1870,3072,7330,9620,1.947298824,5.08916964,9.085813909,2.755980994,12.79318,48.053234,128.566584,386.39,1238.205739,14.14960449,10.34192299,11.63227547,12.35093563,120532.9715,38915.17478,23894.23367,18970.47025,7769.306584,"Chen, Y U S Yu",International Journal of Remote Sensing,2016
Guangzhou in Guangdong,China,China,121,1542,1870,3072,7330,9620,1.947298824,5.08916964,9.085813909,2.755980994, , ,129.98,359.85,633.0762, , ,10.71959728,5.811640563, , ,23634.40529,20369.59844,15195.64312,"Fan, F & W Fan",Journal of Applied Remote Sensing,2014
Guangzhou in Guangdong,China,China,120,1542,1870,3072,7330,9620,1.947298824,5.08916964,9.085813909,2.755980994,115.1019,144.324805,180.15,312.55,960.379721,2.288273585,2.241998208,5.664359217,11.87997168,13396.8249,12956.88569,17052.45629,23452.24764,10016.87123,"Fan, F,Wang, Y,Qiu, M, & Z Wang",International Journal of Geographical Information Science,2009
Guangzhou in Guangdong,China,China,124,1542,1870,3072,7330,9620,1.947298824,5.08916964,9.085813909,2.755980994,260.0060256,262.0465733,264.1031355,266.1755126, ,0.078204992,0.078204992,0.07819277, ,5930.631787,7136.136055,11631.81949,27538.22066, ,"Fan, FL, Weng QH, & YP Wang",Sensors,2007
Guangzhou in Guangdong,China,China,122,1542,1870,3072,7330,9620,1.947298824,5.08916964,9.085813909,2.755980994,98.62604015,186.0478012,348.3105274,632.6232, ,6.552414296,6.471704299,6.149475203, ,15634.8161,10051.18033,8819.716197,11586.67592, ,"Ho, SPS & GCS Lin",Modern China,2004
Guangzhou in Guangdong,China,China,118,1542,1870,3072,7330,9620,1.947298824,5.08916964,9.085813909,2.755980994,76.471731,101.522145,133.93,249.591374,632.626606,2.874085227,2.809135759,6.422919879,9.746780332,20164.31405,18419.62658,22937.35533,29368.00212,15206.44233,"Kuang, W, Chi, W, Lu, D, & Y Dou",Landscape and Urban Planning,2014
Guangzhou in Guangdong,China,China,117,1542,1870,3072,7330,9620,1.947298824,5.08916964,9.085813909,2.755980994,21.844404,90.745002,320,711.939648,1212.934215,15.30502956,13.43125219,8.325155247,5.472540459,70590.16121,20607.19553,9600,10295.81654,7931.18034,"Liu, Z, Huang, H, Werners, SE, D Yan",Journal of Geographical Sciences,2016
Guangzhou in Guangdong,China,China,119,1542,1870,3072,7330,9620,1.947298824,5.08916964,9.085813909,2.755980994,28.289054,78.978867,181.625352,338.490516,719.85334,10.81262618,8.684236037,6.423369124,7.837485317,54508.71563,23677.21988,16913.93831,21654.96418,13363.83325,"Ma, Y & R Xu",Habitat International,2010
Guangzhou in Guangdong,China,China,116,1542,1870,3072,7330,9620,1.947298824,5.08916964,9.085813909,2.755980994,64.060941,144.290699,325,688.702766,1459.42,8.458726904,8.458726908,7.79902842,7.799028423,24070.82968,12959.94831,9452.307692,10643.19814,6591.6597,"Ou, J, Liu, X, Li, X, Chen, Y, & J Li",Journal of Urban Planning and Development,2017
Guangzhou in Guangdong,China,China,123,1542,1870,3072,7330,9620,1.947298824,5.08916964,9.085813909,2.755980994,39.80615272,137.8819007,477.6,1441.9, ,13.22848739,13.22848739,11.68300284, ,38737.73009,13562.33117,6432.160804,5083.570289, ,"Schneider, A & CE Woodcock",Urban Studies,2008
